"securities","companies__t","companies__exch","companies__c","companies__securities__001","companies__securities__002","companies__sc","companies__rv","companies__mc","companies__en","companies__cc","companies__ec","companies__cpr","companies__dt","companies__fy","updateTime"
"","PRGO","UN","Perrigo Co PLC","riy","spx","15","4731.7","7281863225.499999","10600","6187041","70888","87","2019-03-01","2018",""
"","RBC","UN","Regal Beloit Corp","riy","","16","3645.6","3510382941.9","24600","7084604","12688","558","2019-03-21","2018",""
"","PWR","UN","Quanta Services Inc","riy","spx","16","11171.423","5858250844.82","39200","8808204","87144","101","2019-04-12","2018",""
"","RHT","UN","Red Hat Inc","riy","spx","18","3362.069","null","13360","13597466","108668","125","2018-06-25","2018",""
"","PRU","UN","Prudential Financial Inc","riy","spx","14","62992","37711620000","50492","26634837","104092","256","2019-03-28","2018",""
"","PSA","UN","Public Storage","riy","spx","14","2754.28","36658448890.56","5600","9182000","24909","369","2019-03-15","2018",""
"","RSG","UN","Republic Services Inc","riy","spx","16","10040.9","28588984196.760002","36000","11787571","64257","183","2019-04-05","2018",""
"","RYN","UN","Rayonier Inc","riy","","14","816.138","4207860411.4199996","349","4318498","104255","41","2019-04-01","2018",""
"","RGA","UN","Reinsurance Group of America Inc","riy","","14","12875.664","10131062609.36","2767","6700422","108008","62","2019-04-11","2018",""
"","PYPL","UW","PayPal Holdings Inc","riy","spx","14","15451","127622977281.80998","21800","37764588","69600","543","2019-04-10","2018",""
"","R","UN","Ryder System Inc","riy","","16","8409.215","2872974145.9500003","39600","7351625","44769","164","2019-03-18","2018",""
"","PXD","UN","Pioneer Natural Resources Co","riy","spx","13","8817","25145142798.600002","3177","11936791","123103","97","2019-04-03","2018",""
"","RL","UN","Ralph Lauren Corp","riy","spx","11","6313","8830106196.08","13000","25449216","22913","1111","2018-06-20","2018",""
"","RCL","UN","Royal Caribbean Cruises Ltd","riy","spx","11","9493.849","27872560097.280003","7000","12422715","19396","640","2019-04-18","2018",""
"","RHI","UN","Robert Half International Inc","riy","spx","11","5800.271","7221208706.6","18900","9132451","23905","471","2019-04-18","2018",""
"","RIG","UN","Transocean Ltd","riy","","13","3018","4007693676.5","6700","8550795","118192","72","2019-03-11","2018",""
"","PTC","UW","PTC Inc","riy","","18","1255.631","8596124266.050001","6055","49969162.88","77180.84","647","2019-01-23","2018",""
"","RMD","UN","ResMed Inc","riy","spx","15","2606.572","22531285474.1","7240","9082204","60725","150","2018-10-03","2018",""
"","PTEN","UW","Patterson-UTI Energy Inc","riy","","13","3326.997","2046577895.0000002","8000","9764924","79530","123","2019-04-12","2018",""
"","ROST","UW","Ross Stores Inc","riy","spx","11","14983.541","41314535211.04","88100","12400574","9437","1314","2018-04-10","2018",""
"","ROK","UN","Rockwell Automation Inc","riy","spx","16","6694.8","23498578705.36","23000","9188851","56192","164","2018-12-12","2018",""
"","RPM","UN","RPM International Inc","riy","","17","5564.551","9780491619.9","14957","5076910","54330","93","2018-08-17","2018",""
"","RE","UN","Everest Re Group Ltd","riy","spx","14","7386.266","11194694136","1415","7133396","140639","50.72","2019-04-11","2018",""
"","RRC","UN","Range Resources Corp","riy","","13","3202.315","1206848640","796","8711188","134000","65","2019-04-05","2018",""
"","SHW","UN","Sherwin-Williams Co/The","riy","spx","17","17534.493","53644591733.6","53368","13213749","42447","311","2019-03-06","2018",""
"","SIRI","UW","Sirius XM Holdings Inc","riy","","10","5770.692","31585360385.879997","2699","17633953","98000","180","2019-04-22","2018",""
"","SBNY","UW","Signature Bank/New York NY","riy","","14","1732.198","7365234766.5199995","1393","8667124","104905","82.6","2019-03-08","2018",""
"","SLB","UN","Schlumberger Ltd","riy","spx","13","32815","56275423703.549995","100000","16199200","75134","216","2019-02-21","2018",""
"","SEIC","UW","SEI Investments Co","riy","","14","1624.167","9913906583.240002","3820","2105098","86941","24","2019-04-17","2018",""
"","SIX","UN","Six Flags Entertainment Corp","riy","","11","1463.707","3910100640.6599994","2400","7360672","9964","739","2019-03-19","2018",""
"","S","UN","Sprint Corp","riy","","10","33600","21602062449.539997","28500","6395042","70941","90","2018-06-26","2018",""
"","SPB","UN","Spectrum Brands Holdings Inc","riy","","12","3802.1","3123279340.22","13000","4523628","22710","199","2019-01-28","2018",""
